sector,actividad,antiguedad,rfc,calle,colonia,exterior,departamento,municipio,estado,cp,pais,nombre,numero_cliente
COMERCIO,ROPA REGALOS Y CALZADO,2002-06-03,CPA831110R60,LUCERNA,VERSALLES,133,,PUERTO VALLARTA,JA,48310,MEX,CRISTALERIA DEL PACI FICO SA DE CV,N88DF3B8
SERVICIOS,SERVICIOS PROFESIONALES,1991-03-05,PQI880115LPA,JOSE MARIA VELASCO,SAN JOSE INSURGENTES,10,A,BENITO JUAREZ,DF,3900,MEX,"PLANEACION QUIMICA I NDUSTRIAL,SA DE CV",3668PN3I
AGROINDUSTRIA,AGROINDUSTRIA,2011-01-31,CAR070622CT0,CARR LA VEINTE PTE,COSTA RICA,3427,,CULIACAN,SI,80430,MEX,CARYOPSIS SA DE CV,FPN6IFN8
COMERCIO,OTROS COMERCIANTES,1998-01-14,GIB9710068D0,DURANGO,ROMA NORTE,175,,CUAUHTEMOC,DF,6700,MEX,"GRUPO INDUSTRIAL BAC A,SA DE CV",D3I88B8P
INDUSTRIA,QUIMICO,1999-05-29,MEN990426991,ZARZAMORA,DEL FRESNO 1A SECCIO,972,,GUADALAJARA,JA,44900,MEX,"MIL ENVASES,SA DE CV",DNDP833D
SERVICIOS,SERVICIOS PROFESIONALES,2013-09-04,OSI130530RN8,VICENTE FALCON TREVI#O,MAGISTERIAL VISTA BE,3,2,TLALNEPANTLA DE BAZ,EM,54050,MEX,OUTSOURCING SERVICES IBS MEXICO SA DE CV,X00IPF06
INDUSTRIA,MAQUIRIA Y EQUIPO,1994-01-27,INT911021DL0,GRAL ZUAZUA NTE,DEL NORTE,3740,,MONTERREY,NL,64500,MEX,"INTELLISWITCH,SA DE CV",3PBDDII3
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2011-06-09,ASA090625RJ7,AV JUAREZ,ADOLFO LOPEZ MATEOS,2000,,ZAMORA,MI,59625,MEX,AUTO SERVICIO ARIO D E RAYON SA DE CV,40DIFBP0
INDUSTRIA,TEXTIL,2017-04-12,ICA130508ER0,LAMINADORA,JOSE MARIA PINO SUAR,LOTE 8,MZA29,ALVARO OBREGON,DF,1140,MEX,IMPORTACION Y COMERC IALIZACION AKM SA DE CV,X6FP0B38
SERVICIOS,SERVICIOS PROFESIONALES,1997-03-17,CCM961001CV4,CORONA,CERVECERA MODELO,100,,NAUCALPAN DE JUAREZ,EM,53330,MEX,"CALL CENTER DE MEXIC O,SA DE CV",D0PB0036
COMERCIO,INSUMOS PARA LA INDUSTRIA,2007-03-05,FNL070110HI9,JESUS CARRANZA,NUEVO LAREDO CENTRO,620,,NUEVO LAREDO,TM,88000,MEX,FAMA DE NUEVO LAREDO S DE RL DE CV,63I3NDP3
COMERCIO,OTROS COMERCIANTES,1990-05-25,IRO8006094N6,ALFONSO REYES,FRACC BERNARDO REYES,2721,NORTE,MONTERREY,NL,64280,MEX,"INDUSTRIAL ROCAVA,SA DE CV",36BFN0IP
TRANSPORTE,COMUNICACIONES,2008-01-03,GCA071004RV1,22 X 60 NTE,YUCATAN,86 A,,MERIDA,YU,97050,MEX,GRUPO CASAN SA DE CV,6PNB0IDB
COMERCIO,OTROS COMERCIANTES,1961-04-01,MMA4108073Y1,BALDERAS,CENTRO DE LA CD DE M,91,,CUAUHTEMOC,DF,6050,MEX,"MEXICAN MACHINERY CO MPANY,S DE RL",36INDPB3
AGROINDUSTRIA,AGROINDUSTRIA,2011-12-29,PGU110212HP6,CARR A ORRANTE O FTE V GUERRERO,VICENTE GUERRERO,SN,,DELICIAS,CH,33100,MEX,PROCESADORA GUEVARA SA DE CV,4N0P8FN8
COMERCIO,SUPER Y ABARROTES,2003-11-12,DLC031009H13,ANTONIO GARCIA CUBAS,OBRERA,92 A,,CUAUHTEMOC,DF,6800,MEX,DISTRIBUIDORA DE LAC TEOS CARDENAS SA DE CV,BFPIBIBD
INDUSTRIA,TEXTIL,1990-12-04,UTP8212093U4,AV PRESIDENTE JUAREZ,PUENTE DE VIGAS,21,,TLALNEPANTLA DE BAZ,EM,54090,MEX,UNIDAD TEXTIL PUENTE SA DE CV,36FIN3DD
COMERCIO,INSUMOS PARA LA INDUSTRIA,2012-06-18,GAP110327GE7,CARRETERA INTERNACIONAL KM 1001,CINTALAPA DE FIGUERO,SN,,CINTALAPA,CS,30400,MEX,GRUPO AGROEMPRESARIA L PROFINCO SA DE CV,48DIP60I
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2008-02-20,EME071228333,CALLE LA PAROTA,LA PAROTA,100,,CUERNAVACA,MO,62084,MEX,ESTACIONES MEXPET  S A DE CV,6FNPPB60
INMOBILIARIO,NO VIVIENDA,2009-02-26,CAR041213BM6,AV VALLARTA,CIUDAD GRANJA,6503,B5 A,ZAPOPAN,JA,45010,MEX,CARJAU SA DE CV,PFI3N3IB
COMERCIO,INSUMOS PARA LA INDUSTRIA,1991-09-30,PLA780731K11,ALONSO GOMEZ TORRES,CIUDAD INDUSTRIAL,199,,TORREON,CU,27019,MEX,"PRECONCRETO DE LA LA GUNA,SA DE CV",366IBB6N
SERVICIOS,SERVICIOS PROFESIONALES,2009-03-19,STU080306EA2,CATALINA,SAN FELIPE DEL AGUA 1,106,,OAXACA DE JUAREZ,OA,68020,MEX,STURMAX SA DE CV,PFFBBNFB
COMERCIO,INSUMOS PARA LA INDUSTRIA,2005-05-24,CMO050307NX2,PRIV GLORIETA EMILIANO ZAPATA,JIQUILPAN,101,,CUERNAVACA,MO,62170,MEX,MAC COMPUTADORAS DE MORELOS  SA DE CV,86P6B8I0
TRANSPORTE,COMUNICACIONES,2006-08-17,BME060113V47,LAZARO CARDENAS,ZONA VALLE ORIENTE NORTE,435,PISO 11,SAN PEDRO GARZA GARCIA,NL,66266,MEX,BINBIT MEXICO SA DE CV,I66DIFPD
INDUSTRIA,OTRAS INDUSTRIAS MANUFACTURERAS,1991-05-28,PPM8310217F7,FRACCIONAMIENTO BRIDEC,CIUDAD INDUSTRIAL,LT 6,,MERIDA,YU,97288,MEX,"PRODUCTOS PRACTICOS DE MADERA,SA DE CV",0BDDBN30
INMOBILIARIO,NO VIVIENDA,2008-06-18,CIC0105295W3,RET 9,OSCAR TORRES PANCARDO,MZ 37,LT 4,REFORMA,CS,29500,MEX,CONSTRUCCIONES INDUS TRIALES Y CIVILES EL PUENTE,PDP0D6FN
COMERCIO,SUPER Y ABARROTES,2012-03-23,DSP1201233N7,LIBRAMIENTO ORIENTE SIN NUMERO BODEGA 22,QUIRINDAVARA,SN,22,URUAPAN,MI,60190,MEX,DISTRIBUIDORA SU POL LO SA DE CV,4B3FN3I6
INMOBILIARIO,NO VIVIENDA,2012-06-14,TIN120130MZA,PASEO DE LA REFORMA,JUAREZ,300,PISO 11,CUAUHTEMOC,DF,6600,MEX,TF2L INFRAESTRUCTURA S SA DE CV,48DB0838
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2005-09-01,ASG030715PP8,CARRETERA MOCHIS CULIACAN KM 143 MAS 863,CALLEJONES DE GUASAV,SN,,GUASAVE,SI,81101,MEX,AUTO SERVICIO GUASAV ITO SA DE CV,I03DBI08
INMOBILIARIO,NO VIVIENDA,1996-01-29,UVE951229TX5,SANTA MARIA,RINCON DE SANTA MARIA,205,,MONTERREY,NL,64650,MEX,URBANIZACION VIVIEND A Y EDIFICACION SA D E CV,3FNI3330
COMERCIO,OTROS COMERCIANTES,2018-01-18,CMM140612BQ1,DAKOTA,NAPOLES,51,,BENITO JUAREZ,DF,3810,MEX,COFFEE MATTERS MEXIC O SA DE CV,XFID3IP8
COMERCIO,SUPER Y ABARROTES,2005-12-02,DTU050607QF4,AV HILARIO RODRIGUEZ MALPICA,COATZACOALCOS CENTRO,517,A,COATZACOALCOS,VE,96400,MEX,DISTRIBUIDORA TUCA S A DE CV,ID0808PI
COMERCIO,OTROS COMERCIANTES,2006-01-31,RNB0512075N3,AVENIDA FERROCARRIL,PINOS AGUERO,64,A,TIJUANA,BN,22116,MEX,RECICLADOS NORTHWEST BAJA  SA,INBN608P
COMERCIO,INSUMOS PARA LA INDUSTRIA,2004-08-13,MMA0204268K7,ARTEAGA,PARAISO,1303,,GUADALUPE,NL,67140,MEX,MACRO MARKS SA DE CV,8N8FDDN3
SERVICIOS,SERVICIOS PROFESIONALES,2010-02-26,VER0603159K6,CALDERON DE LA BARCA,POLANCO IV SECCION,359,400,MIGUEL HIDALGO,DF,11550,MEX,VERSARIA SA DE CV,FB3P6PF8
COMERCIO,SUPER Y ABARROTES,2004-06-07,CFI030925779,CENTAURO DEL NORTE,FRANCISCO VILLA,809,,MAZATLAN,SI,82127,MEX,CONGELADORA FILI S.A DE C.V,8D88I660
SERVICIOS,SERVICIOS PROFESIONALES,2003-02-04,NSS030109F59,BAHIA MAGDALENA,VERONICA ANZURES,148,102,MIGUEL HIDALGO,DF,11300,MEX,NETWORK STORAGE SOLU TIONS S.A. DE C.V.,NPNIFN3N
COMERCIO,ROPA REGALOS Y CALZADO,2008-08-26,PMM080421G54,AV HIDALGO,OAXACA CENTRO,1014,,OAXACA DE JUAREZ,OA,68000,MEX,PRICE MARKET DE MEXI CO SA DE CV,P80IB83D
COMERCIO,OTROS COMERCIANTES,1976-09-01,TIN8309193D1,LOS ANGELES,SECT REFORMA,464,,GUADALAJARA,JA,44430,MEX,"TUBERIAS INDUSTRIALE S,SA",36FI3DPB
COMERCIO,ROPA REGALOS Y CALZADO,2017-02-16,PGU070615QK1,AV CHAPULTEPEC,CENTRAL DE ABASTOS,700,48,GUADALUPE,NL,67147,MEX,PLASTIOFERTAS GUADAL UPE SA DE CV,X6I83BPP
COMERCIO,INSUMOS PARA LA INDUSTRIA,2005-01-24,SYT040813GF5,SAN ISIDRO,SAN ANTONIO,150,,AZCAPOTZALCO,DF,2760,MEX,SYTRENX SA DE CV,8I3DNB0B
INMOBILIARIO,NO VIVIENDA,2009-08-19,TAN090812F72,CERRADA PRIMERA DE SAN MATEO OXTOTITLAN,SAN MATEO OXTOTITLAN,SN,,TOLUCA,EM,50100,MEX,TALLER DE ARQUITECTO S NUEVO ARTE SA DE C V,F3FNFDFP
COMERCIO,INSUMOS PARA LA INDUSTRIA,2009-07-08,JPC0902195Q0,CERRADA MALAQUIAS HUITRON 39 Y 41,SAN LORENZO TETLIXTA,MZ Z1,LT 4 SN,COACALCO DE BERRIOZABAL,EM,55714,MEX,JUPITER PRODUCTOS DE CALIDAD AMERICANOS SA DE CV,F3B86INN
INMOBILIARIO,NO VIVIENDA,2012-06-19,DCI110531S75,CORUMBA,VALLE DEL TEPEYAC,556,,GUSTAVO A MADERO,DF,7740,MEX,DRILLER CIMENTACIONE S SA DE CV,48DPPBNI
COMERCIO,SUPER Y ABARROTES,2010-01-07,CTU090506FP8,MONTE PELVOUX,LOMAS DE CHAPULTEPEC,111,302,MIGUEL HIDALGO,DF,11000,MEX,COMERCIALIZADORA TUN ONI SA DE CV,FN8P686I
COMERCIO,ROPA REGALOS Y CALZADO,1999-07-14,CFA990628EK7,INDEPENDENCIA SUR,CENTRO,107,,TULANCINGO DE BRAVO,HI,43600,MEX,"COOVE FARMACEUTICA,S A DE CV",DNBN63I3
COMERCIO,AUTOS Y REFACCIONES,2011-05-12,VCO110308K95,LAZARO CARDENAS,DEL PASEO RESIDENCIAL,3704,,MONTERREY,NL,64920,MEX,VEHICULOS COMPETITIV OS  SA DE CV,FFI30PF0
COMERCIO,OTROS COMERCIANTES,2009-04-02,FCC0506247P1,AUGUSTO RODIN,INSURGENTES MIXCOAC,452,408,BENITO JUAREZ,DF,3920,MEX,FUSCO CARTER COMERCI ALIZADORA Y CONSULTO RA SA DE CV,F038IDND
TRANSPORTE,TRANSPORTE,1976-12-01,MGS690127TI0,MADERO,CENTRO,3800,,NUEVO LAREDO,TM,88000,MEX,"MEJIA Y GOMEZ SANUDO ,SC",3608FNP3
INDUSTRIA,QUIMICO,1990-08-02,SQM900625EW5,20 DE OCTUBRE,FRANCISCO I MADERO,1207,,MONTERREY,NL,64560,MEX,"SERVIQUIM DE MONTERR EY,SA DE CV",36F3D8FD
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,1997-12-04,INY701218VC1,GEORGIA,NAPOLES,37,,BENITO JUAREZ,DF,3810,MEX,"INN NUEVA YORK,SA DE CV",D38NIPNF
SERVICIOS,SERVICIOS DE EDUCACION,2001-03-08,WSC810101GK2,A SANTA TERESA,PARQUES DEL PEDREGAL,811,,TLALPAN,DF,14010,MEX,WESTMINSTER SCHOOL S C,38P6BNF8
COMERCIO,INSUMOS PARA LA INDUSTRIA,2005-08-10,MPM0408101K7,PATRIA,JARDINES DE LA PATRI,290 B,X,ZAPOPAN,JA,45110,MEX,MOC PRODUCTS MEXICO SA DE CV,8FINFB3N
INDUSTRIA,MAQUIRIA Y EQUIPO,1992-11-27,IAK840406MH6,MORELOS,CIUDAD CUAUHTEMOC CENTRO,940,,CUAUHTEMOC,CH,31500,MEX,INDUSTRIAS AGRICOLAS KEER SA DE CV,36BFN33B
COMERCIO,SUPER Y ABARROTES,2012-04-03,CGA1012137T7,CORREGIDORA,AMECA CENTRO,59,,AMECA,JA,46600,MEX,COMERCIALIZADORA DE GRANOS DE AMECA SPR DE R,4BNND3PD
INMOBILIARIO,NO VIVIENDA,2009-12-08,IEI091106SR4,MORATILLA,MORATILLA,2,B,PUEBLA,PU,72110,MEX,INGENIERIA E INFRAES TRUCTURA INDUSTRIAL ELECTRICA SA DE CV,FND886F0
INDUSTRIA,INDUSTRIAS BASICAS,2002-06-03,CTJ9909223K0,CALZADA DELICIAS,ALAMO ORIENTE,2191,,SAN PEDRO TLAQUEPAQUE,JA,45560,MEX,"CISTERNAS Y TINACOS DE JALISCO CITIJAL,S A DE CV",N88DPNI3
COMERCIO,AUTOS Y REFACCIONES,1991-08-21,ARE810930MZ6,BOULEVARD HIDALGO KILOMETRO 215,JARDINES COLONIALES,SIN NUM,,REYNOSA,TM,88745,MEX,AUTOMOTRIZ REYNOSA S A DE CV,NB3FDP0N
COMERCIO,OTROS COMERCIANTES,2008-10-23,ARK080929NL2,CARRETERA A TEPIC,LAS JUNTAS,5324,,PUERTO VALLARTA,JA,48291,MEX,ARKIRAMICA SA DE CV,P60B0FNI
INMOBILIARIO,HOTELES,2010-04-08,AYD090921UG5,SUPER MANZANA MARIO II,STA GERTRUDIS COPO,SN,,MERIDA,YU,97300,MEX,AYDOLA  SA DE CV,FBIN8DN8
INDUSTRIA,PRODUCTOS A BASE DE MINERALES NO METALICOS,1990-03-20,LAT8106238B4,HEROES DE 1914,SAN PEDRO DE LOS PIN,50,,ALVARO OBREGON,DF,1180,MEX,LLANTERA ATLAS SA DE CV,3FB686D3
INDUSTRIA,PAPEL,1991-04-09,ORE700223ALA,ACUEDUCTO,HUIPULCO TLALPAN,115,,TLALPAN,DF,14370,MEX,"OFFSET REBOSAN,SA DE CV",36IFDPF8
INMOBILIARIO,ALQUILER DE INMUEBLES,2004-03-12,AYS030522UV2,PERIFERICO ORIENTE ESQ BOULEVARD H COLEGIO MILIT,IGUALA DE LA INDEPEN,SN,,IGUALA DE LA INDEPENDENCIA,GO,40000,MEX,ASOCIACION YOZYS SA DE CV,83NB3I36
COMERCIO,SUPER Y ABARROTES,2007-02-13,FST041027414,KM 3 MAS 400 CARRET ALVARO OBREGON,CIUDAD CUAUHTEMOC CENTRO,SN,,CUAUHTEMOC,CH,31500,MEX,FERTILIZANTES Y SEMI LLAS DE LA TARAHUMAR A SA DE CV,63D0FI0P
INMOBILIARIO,NO VIVIENDA,2014-05-14,URD130830U21,AUTLAN,VALLARTA PONIENTE,31,,GUADALAJARA,JA,44110,MEX,URDEM SA DE CV,X3PINFFP
COMERCIO,INSUMOS PARA LA INDUSTRIA,2000-03-23,CCO980130JD9,ADOLFO RUIZ CORTINES PTE,MITRAS CENTRO,2480,,MONTERREY,NL,64460,MEX,"CRONOS CONVERPLASTIC ,SA DE CV",DBIIN3ID
INMOBILIARIO,NO VIVIENDA,2001-04-16,CPJ001215N23,BULGARIA,LETRAN VALLE,505,DESP 3,BENITO JUAREZ,DF,3650,MEX,"CONSTRUCCIONES Y PRO YECTOS JUVA,SA DE CV",N006FPPF
COMERCIO,INSUMOS PARA LA INDUSTRIA,2012-11-16,CBR100222NWA,AV TORRES DE IXTAPALTONGO,OLIVAR DE LOS PADRES,380,LOC J A,ALVARO OBREGON,DF,1780,MEX,CORPORATIVO BRAGIB S A DE CV,46300DF6
COMERCIO,INSUMOS PARA LA INDUSTRIA,1995-10-16,RBR950418H79,BLVD ROSENDO G CASTRO,PRIMER CUADRO (CENTRO),58,,AHOME,SI,81200,MEX,"EL ROBLE BANOS Y REC UBRIMIENTOS, SA DE C V",3FD08BNN
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2006-01-30,GLU020624DJ6,CARRETERA TAMPICO MANTE,TRES MARIAS,KM 36,,ALTAMIRA,TM,89610,MEX,GASOLINERIA LA LUCHA SA DE CV,INNFBI63
COMERCIO,RESTAURANT,2007-11-28,BSH0605024S7,BLV GRAL LAZARO CARDENAS,PLAYA DE ENSENADA,1790,,ENSENADA,BN,22880,MEX,BRASIL STEAK HOUSE S A DE CV,66830N33
TRANSPORTE,TRANSPORTE,2002-04-18,TOR9807203M4,LINCOLN,RANCHO MITRAS,1000,,GARCIA,NL,66023,MEX,"TRANSPORTES ORTA, SA DE CV",N808N3DN
SERVICIOS,SERVICIOS PROFESIONALES,1991-09-24,SNO820616KA8,SALVATIERRA,CENTRO,SN,,COMONDU,BS,23880,MEX,SERVICIOS NOPOLO SA DE CV,36F3DDN6
INDUSTRIA,MINERIA,2009-11-03,CAM030527V28,AV LUIS DONALDO COLOSIO,STA CATALINA,KM 5 8,,SANTA CATARINA,NL,66350,MEX,CANTERAS Y AGREGADOS MONTERREY SA DE CV,FDP36NNN
SERVICIOS,SERVICIOS PROFESIONALES,1990-08-17,PGS900618NK7,CARRET MEXICO TEXCOCO,SANTIAGO CUAUTLALPAN,KM 31.1,,TEXCOCO,EM,56255,MEX,"PLASTICOS GONZALEZ S UCESORES,SA DE CV",3668P83D
COMERCIO,ESTACIONES DE GASOLI Y GASERAS,2008-07-14,EAS0007111D4,CARR A MATAMOROS KM 87,LA ESCONDIDA,1964,,REYNOSA,TM,88770,MEX,ESTACION DE AUTOSERV ICIO SANTA ELENA SA DE CV,PNII6BNI
AGROINDUSTRIA,AGROINDUSTRIA,1997-08-28,ROL9707182M5,AQUILES SERDAN,MANEADERO,310,,ENSENADA,BN,22790,MEX,RANCHO LOS OLMOS SPR DE RL,D3DNFP8F
